tconst	averageRating	numVotes
tt0086800	8.0	629
tt0086802	6.4	3635
tt0086807	7.4	2646
tt0086814	7.4	7382
tt0086815	6.5	7598
tt0086816	5.7	1156
tt0086817	8.0	24858
tt0086818	7.4	1661
tt0086822	7.3	15055
tt0086823	7.7	9874
tt0086824	7.9	5509
tt0086827	6.6	16661
tt0086829	7.9	1108
tt0086831	8.6	14227
tt0087244	7.7	1241
tt0087400	8.6	3451
tt0087583	7.0	1624
tt0087749	7.5	2355
tt0087756	8.0	2803
tt0087924	7.6	2496
tt0088109	7.5	1774
tt0088470	6.7	4368
tt0088471	7.2	588
tt0088473	7.8	954
tt0088475	7.4	2001
tt0088476	7.7	3505
tt0088478	7.4	6791
tt0088479	8.0	894
tt0088484	8.6	52759
tt0088491	8.3	18319
tt0088496	6.1	1262
tt0088500	7.4	4451
tt0088503	7.3	2210
tt0088509	8.5	73578
tt0088510	5.9	2455
tt0088512	4.8	9807
tt0088513	7.8	6387
tt0088515	5.9	2474
tt0088519	6.8	1100
tt0088526	8.2	51155
tt0088527	6.6	17281
tt0088528	7.5	12678
tt0088541	7.0	789
tt0088547	7.8	1015
tt0088550	5.5	1300
tt0088554	4.7	831
tt0088559	7.6	44174
tt0088561	8.4	577
tt0088563	7.3	4824
tt0088568	7.3	1354
tt0088571	7.6	26207
tt0088573	8.2	834
tt0088576	6.6	5293
tt0088579	6.9	704
tt0088580	5.6	6771
tt0088583	8.1	12727
tt0088587	7.2	638
tt0088591	7.3	1874
tt0088595	8.5	4229
tt0088597	7.5	601
tt0088601	5.7	760
tt0088604	7.6	567
tt0088608	7.9	885
tt0088610	7.0	5674
tt0088612	7.3	3584
tt0088616	5.9	583
tt0088618	6.7	3839
tt0088621	7.4	2215
tt0088628	7.2	3626
tt0088631	7.9	20144
tt0088634	7.7	12954
tt0088635	8.2	1132
tt0088640	6.2	1361
tt0088643	7.0	930
tt0088655	6.6	1158
tt0088693	7.2	3544
tt0088727	8.5	23907
tt0088736	7.6	518
tt0088750	6.7	505
tt0088833	7.6	2894
tt0088863	7.3	1953
tt0088916	6.9	750
tt0089008	7.1	669
tt0089500	7.0	1044
tt0089749	7.0	715
tt0089991	6.7	1094
tt0090390	7.4	41676
tt0090395	6.8	2572
tt0090399	8.5	2329
tt0090400	6.4	1075
tt0090402	6.3	1628
tt0090404	6.6	1017
tt0090405	7.8	3684
tt0090410	8.3	3686
tt0090416	7.6	609
tt0090417	8.2	3343
tt0090418	7.3	7681
tt0090424	8.3	4352
tt0090436	7.6	1522
tt0090442	7.7	633
tt0090444	6.6	3697
tt0090455	7.7	2103
tt0090457	7.3	512
tt0090459	7.7	1854
tt0090461	7.4	3465
tt0090465	8.2	832
tt0090466	7.1	7033
tt0090474	8.4	821
tt0090477	7.8	4267
tt0090478	7.4	1447
tt0090479	8.1	1348
tt0090481	7.1	10431
tt0090487	6.9	608
tt0090488	6.3	977
tt0090490	8.0	6606
tt0090493	5.0	5587
tt0090496	7.2	996
tt0090500	8.2	6130
tt0090501	7.2	11871
tt0090502	7.7	843
tt0090503	6.4	1452
tt0090506	7.6	11736
tt0090509	8.7	14826
tt0090520	7.3	3659
tt0090521	8.5	5035
tt0090523	8.6	2336
tt0090524	8.8	1008
tt0090525	8.1	8205
tt0090527	6.7	1059
tt0090528	7.4	1033
tt0090540	6.6	2152
tt0090541	8.4	595
tt0090553	8.1	667
tt0090638	6.6	1330
tt0090669	7.5	2334
tt0090925	7.3	2799
tt0091211	8.1	4011
tt0091618	7.8	2814
tt0091942	7.9	3099
tt0092312	7.2	14859
tt0092316	6.0	698
tt0092319	7.0	8384
tt0092322	7.7	2161
tt0092323	7.3	1001
tt0092324	8.6	49669
tt0092325	3.5	8704
tt0092329	7.4	1569
tt0092336	8.1	609
tt0092337	8.9	31646
tt0092339	7.1	8701
tt0092345	8.0	36901
tt0092351	7.1	1625
tt0092353	7.7	934
tt0092354	8.5	569
tt0092355	7.6	3935
tt0092357	7.6	4515
tt0092359	6.8	65941
tt0092363	6.7	2292
tt0092378	7.0	543
tt0092379	8.2	15459
tt0092381	6.4	3466
tt0092383	8.8	5461
tt0092386	7.6	985
tt0092400	8.1	115983
tt0092402	7.3	3301
tt0092410	6.2	4570
tt0092411	7.0	569
tt0092423	7.3	2422
tt0092425	7.3	1135
tt0092428	7.6	554
tt0092434	7.6	881
tt0092448	6.8	756
tt0092455	8.7	145652
tt0092456	7.6	791
tt0092468	8.3	5344
tt0092469	7.1	1720
tt0092476	7.6	1391
tt0092478	8.7	686
tt0092479	7.5	536
tt0092480	7.8	1208
tt0092484	7.8	3184
tt0092492	7.5	3362
tt0092571	8.4	10792
tt0092659	6.7	1034
tt0092945	6.8	517
tt0092999	9.1	875
tt0093688	7.2	677
tt0093808	6.7	502
tt0094415	7.2	2369
tt0094416	8.6	2421
tt0094430	7.6	1181
tt0094433	8.2	4055
tt0094447	6.8	2018
tt0094449	7.1	1541
tt0094455	6.6	4232
tt0094459	7.3	660
tt0094460	6.5	1102
tt0094466	6.2	3759
tt0094469	7.2	14478
tt0094473	7.9	594
tt0094479	6.6	608
tt0094481	5.1	6768
tt0094484	7.6	6890
tt0094490	7.0	2106
tt0094500	7.2	6833
tt0094510	7.8	1949
tt0094511	7.5	4511
tt0094512	7.3	2200
tt0094514	6.9	11263
tt0094516	7.1	1593
